Referencia,Fecha Alta,Tipo_Prop,Tipo_Operación,Provincia,Superficie,Construidos,Precio Venta,Fecha Venta,Vendedor,Supervisor,Dueño Propiedad,Rut Dueño,Celular Dueño,email dueño,Comprador o arrendador,Rut Comp/Arrend.
11,04/01/04,Oficina,Alquiler,Girona,124,281,627068,28/10/04,Pedro,Joaquín,Hashim Melton,50225371-9,9-585-670-226,ipsum.dolor.sit@quamPellentesquehabitant.edu,Walker Moreno,42861332-5
12,04/01/04,Industrial,Venta,Girona,187,587,999328,05/04/04,Carmen,Joaquín,Shelly Wright,5769217-0,9-693-608-142,sem.mollis@antedictum.net,Olga Buckner,38230694-5
13,04/01/04,Parking,Venta,Barcelona,300,518,2937300,04/11/04,Jesús,Luisa,Allegra Sellers,39748540-4,9-821-118-821,ut.dolor@Sedauctorodio.net,Sage Watts,28086386-6
14,04/01/04,Local,Venta,Tarragona,68,470,664700,01/10/04,Carmen,Joaquín,Zahir Brennan,10342544-1,9-582-369-556,luctus.et.ultrices@venenatislacusEtiam.edu,Iola Hood,29576695-6
15,04/01/04,Industrial,Alquiler,Girona,176,639,820336,29/11/04,Pedro,Joaquín,Jacqueline Day,41592805-K,9-477-526-710,feugiat@eulacus.org,Dana Elliott,21009275-7
16,05/01/04,Casa,Alquiler,Girona,179,247,937960,21/11/04,Carmen,Joaquín,Diana Mcbride,22807124-2,9-462-937-094,erat.semper@congue.net,Rahim Jacobs,16545852-4
17,05/01/04,Casa,Alquiler,Tarragona,58,381,358846,08/10/04,Luisa,,Basia Santos,22794008-5,9-881-162-555,Aliquam.nisl@Lorem.ca,Nola Campos,16100961-K
18,06/01/04,Suelo,Venta,Barcelona,283,489,1679605,06/06/04,Carmen,Joaquín,Dane Heath,20131527-1,9-942-769-194,pede.ac@risus.co.uk,Cheryl Pollard,34720244-4
19,07/01/04,Piso,Alquiler,Girona,55,321,472615,09/04/04,Luisa,,Slade Munoz,24683227-7,9-972-758-367,parturient.montes@diam.org,Irma Duran,39403185-2
20,08/01/04,Oficina,Alquiler,Barcelona,148,290,1169496,19/08/04,María,Luisa,Ian Kramer,41574505-2,9-158-995-970,sit.amet.orci@feugiat.com,Madaline Carey,28828258-7
21,09/01/04,Industrial,Venta,Barcelona,228,184,2020992,12/06/04,Carmen,Joaquín,Gabriel Pate,24492683-5,9-704-548-298,eu.tempor@ante.org,Suki Hudson,11957764-0
22,09/01/04,Oficina,Alquiler,Lleida,116,408,727552,14/04/04,Pedro,Joaquín,Beau Cote,38249487-3,9-121-854-765,dui.Fusce.aliquam@dolor.edu,Rhea Holcomb,18312409-9
23,10/01/04,Casa,Alquiler,Girona,183,420,1438929,21/04/04,Luisa,,Julian Hardin,42084703-3,9-506-922-078,eleifend.nunc@purus.net,Tanek Odom,21995172-8
24,10/01/04,Oficina,Alquiler,Tarragona,79,506,427390,01/12/04,Joaquín,,Lyle Brown,34570728-K,9-454-724-621,elit@felis.ca,Ulla Hamilton,16147398-7
25,10/01/04,Oficina,Alquiler,Barcelona,124,59,1170684,23/05/04,Jesús,Luisa,Beatrice Lancaster,30518580-9,9-342-907-810,Quisque@Nullamfeugiatplacerat.ca,Armand Cabrera,10169145-4
26,10/01/04,Local,Alquiler,Tarragona,70,366,549780,22/06/04,Jesús,Luisa,Erica Velez,33216961-0,9-525-769-507,enim@rutrummagnaCras.edu,Leroy Mathews,15670633-7
27,11/01/04,Local,Alquiler,Tarragona,70,332,659330,23/12/04,Pedro,Joaquín,Carson Holman,9991463-7,9-434-225-703,magna.Sed@luctuset.co.uk,Lawrence Price,48186289-2
28,12/01/04,Casa,Alquiler,Barcelona,187,192,1660560,16/06/04,Joaquín,,Quintessa Meyer,41894383-1,9-970-221-984,Suspendisse.ac@velitegestaslacinia.org,Quinlan Rice,35985144-8
29,12/01/04,Casa,Alquiler,Tarragona,91,499,753571,07/07/04,Luisa,,Kyra Riggs,39831627-4,9-386-222-080,montes@mauris.com,Scarlett Gregory,49135840-8
30,12/01/04,Local,Alquiler,Tarragona,201,393,939072,04/08/04,Carmen,Joaquín,Amity Wynn,39697945-4,9-792-282-674,nec@nonlobortis.co.uk,Donovan Ewing,38196327-6
31,13/01/04,Industrial,Alquiler,Barcelona,142,733,1405374,24/09/04,Jesús,Luisa,Gillian Bush,35949982-5,9-741-692-721,lobortis.ultrices@loremDonecelementum.co.uk,Dalton Webb,34068487-7
32,13/01/04,Casa,Alquiler,Girona,92,340,627348,12/04/04,María,Luisa,Chadwick Dorsey,38921163-K,9-207-644-489,auctor.nunc.nulla@non.com,Nathan Garcia,41790344-5
33,15/01/04,Local,Alquiler,Barcelona,181,218,1504110,03/07/04,María,Luisa,Kyra Hamilton,7045734-2,9-920-836-664,leo.Cras.vehicula@dignissim.edu,Evangeline Stewart,16707678-5
34,15/01/04,Casa,Venta,Barcelona,281,490,2483197,01/11/04,María,Luisa,Harlan Hayden,31532649-4,9-341-299-983,dictum.eu.placerat@anteiaculisnec.edu,Penelope Bowman,10328272-1
35,15/01/04,Industrial,Alquiler,Tarragona,257,246,1799771,31/12/04,Luisa,,Shana Buck,30069041-6,9-967-121-841,adipiscing@pede.edu,Petra Morse,39915410-3
36,16/01/04,Industrial,Alquiler,Tarragona,140,544,1054340,02/12/04,Luisa,,Mollie Morton,12613312-K,9-231-575-331,tellus.Aenean.egestas@cursus.co.uk,Hashim Dillon,47283357-K
37,16/01/04,Local,Venta,Girona,229,517,1160572,09/07/04,Pedro,Joaquín,Zoe Tran,48580859-0,9-426-587-593,mi.lorem.vehicula@arcu.co.uk,Declan Joyner,27445296-K
38,17/01/04,Suelo,Alquiler,Tarragona,300,367,1492800,08/12/04,Joaquín,,Noelle Steele,47888239-4,9-427-821-695,turpis@inaliquetlobortis.com,Kadeem Klein,8274686-2
39,18/01/04,Parking,Alquiler,Tarragona,215,396,1154980,14/01/05,Joaquín,,Rana Trevino,45456929-6,9-251-768-034,ante.Maecenas@faucibus.edu,Wanda Gilbert,23663540-6
40,18/01/04,Oficina,Venta,Girona,182,721,1057784,22/07/04,Jesús,Luisa,Oleg Morse,12931738-8,9-959-382-786,lacus.vestibulum@risusvarius.org,Kathleen Dillard,42223754-2
41,18/01/04,Piso,Venta,Barcelona,230,326,1421860,23/09/04,Jesús,Luisa,Kyle Fitzgerald,40647844-0,9-146-976-241,commodo@nonummyFuscefermentum.org,Lysandra Fitzgerald,42941032-0
42,19/01/04,Oficina,Venta,Tarragona,168,650,1426992,20/11/04,Jesús,Luisa,Asher Gross,27841075-7,9-242-228-539,arcu.Nunc.mauris@risus.edu,Liberty Roman,45201005-4
43,19/01/04,Oficina,Alquiler,Girona,74,444,579716,22/09/04,María,Luisa,Theodore Rutledge,7033394-5,9-579-822-253,in.dolor@molestie.co.uk,Talon Mack,22526113-K
44,19/01/04,Casa,Venta,Girona,278,260,1537062,16/12/04,María,Luisa,Germane Richmond,29715028-6,9-464-477-217,Nunc.ullamcorper@Phasellusvitaemauris.ca,Anne Barrera,45379113-0
45,20/01/04,Oficina,Alquiler,Barcelona,287,241,2851058,02/01/05,Joaquín,,Christopher Randall,44782333-0,9-829-654-058,lorem.auctor@ametfaucibus.net,Walker Barry,29439254-8
46,20/01/04,Oficina,Alquiler,Lleida,224,677,1294048,29/10/04,Carmen,Joaquín,Melissa Love,31821386-0,9-368-671-862,in.faucibus@Aliquamerat.com,Gavin Ramsey,10836292-8
47,20/01/04,Piso,Alquiler,Barcelona,53,122,249418,11/08/04,Luisa,,Xena Newton,38817124-3,9-400-197-583,convallis.ante@nectellusNunc.org,Emily Luna,24940244-3
48,20/01/04,Industrial,Venta,Barcelona,284,192,1457488,06/07/04,Jesús,Luisa,Garrison Glover,27280603-9,9-731-399-849,non@lectusNullamsuscipit.edu,Lara Joseph,28883432-6
49,20/01/04,Local,Venta,Girona,40,406,321680,11/01/05,Jesús,Luisa,Craig Dudley,19993101-6,9-773-585-062,non.enim.Mauris@pellentesquetellus.com,Regan Mckenzie,13328966-6
50,20/01/04,Local,Alquiler,Tarragona,235,540,957625,13/11/04,Carmen,Joaquín,Sean Sparks,10963271-6,9-908-925-250,penatibus@acturpis.ca,Beverly Bradford,37053702-K
51,20/01/04,Industrial,Venta,Lleida,90,717,568620,14/12/04,Joaquín,,Ria Holden,13311190-5,9-973-837-970,amet@massa.co.uk,Faith Wood,7135821-6
52,22/01/04,Local,Alquiler,Lleida,206,551,1605564,26/09/04,María,Luisa,Destiny Parker,26812553-1,9-703-206-482,volutpat@lorem.com,Levi Vazquez,14127722-7
53,22/01/04,Suelo,Alquiler,Tarragona,158,442,1438748,17/10/04,Carmen,Joaquín,Louis Reid,16914424-9,9-689-909-140,litora.torquent.per@lorem.edu,Rana Heath,38230787-9
54,22/01/04,Suelo,Alquiler,Barcelona,71,335,686996,30/05/04,Luisa,,Lyle Compton,47767636-7,9-569-829-314,tincidunt.vehicula.risus@Duisacarcu.ca,Lillian Beach,19706046-8
55,22/01/04,Local,Venta,Girona,127,273,983234,09/07/04,Carmen,Joaquín,Mari Carlson,31123289-4,9-649-348-809,facilisis.vitae@semPellentesque.edu,Daria Dickerson,6438880-0
56,23/01/04,Piso,Venta,Lleida,54,611,239220,01/05/04,María,Luisa,Fatima Buck,50302424-1,9-666-252-383,tellus.imperdiet.non@variusorci.org,Hyatt Kinney,11992583-5
57,23/01/04,Oficina,Alquiler,Lleida,54,508,512730,04/07/04,Carmen,Joaquín,Aline Berry,36769563-3,9-290-745-140,diam.lorem.auctor@eget.edu,Adria Kent,7578111-3
58,24/01/04,Local,Alquiler,Girona,274,675,2287626,21/12/04,María,Luisa,Brenda Ramos,17471429-0,9-752-590-807,enim.gravida.sit@natoque.ca,Louis James,12998256-K
59,24/01/04,Industrial,Venta,Tarragona,166,375,1373816,19/11/04,Joaquín,,Rhiannon Patrick,8530028-8,9-352-590-587,Pellentesque.tincidunt@euismod.org,Barbara Porter,33046858-0
60,24/01/04,Oficina,Alquiler,Lleida,270,463,1920240,28/06/04,Jesús,Luisa,Karen Daugherty,28168444-2,9-419-759-205,venenatis.a@rutrumeu.ca,Beverly Holder,16865616-5
61,24/01/04,Casa,Venta,Tarragona,120,604,1140840,12/09/04,Carmen,Joaquín,Alyssa Cabrera,9094467-3,9-689-240-613,faucibus@laoreetlibero.net,Petra Noble,17272987-8
62,24/01/04,Industrial,Venta,Tarragona,178,296,1142938,23/01/05,Joaquín,,Isadora Pate,41181885-3,9-853-406-342,ipsum.Phasellus@congueelitsed.co.uk,Whoopi Fletcher,24053746-K
63,25/01/04,Piso,Venta,Barcelona,144,500,738144,06/09/04,Luisa,,Delilah Cole,28585580-2,9-844-723-326,Vivamus.molestie.dapibus@tinciduntorciquis.ca,Tamara Bruce,39422805-2
64,26/01/04,Industrial,Venta,Lleida,57,499,509010,13/10/04,María,Luisa,Mark Guerra,24869500-5,9-172-398-077,metus.vitae.velit@utquam.ca,Geraldine Chase,14857680-7
65,26/01/04,Oficina,Venta,Tarragona,144,456,1436832,26/05/04,Luisa,,Iliana Pierce,40449763-4,9-658-921-087,neque@Nullamnisl.edu,Shoshana Bennett,15180426-8
66,27/01/04,Suelo,Venta,Lleida,272,242,2119424,24/12/04,Pedro,Joaquín,Sybill Hebert,34653698-5,9-918-461-914,augue.eu@enimnectempus.net,Lacey Perez,50487285-8
67,27/01/04,Industrial,Alquiler,Barcelona,219,81,948927,15/10/04,Jesús,Luisa,Kalia Golden,26450531-3,9-495-252-803,Sed.id.risus@sed.ca,Geoffrey Glass,46792256-4
68,27/01/04,Local,Alquiler,Barcelona,68,619,376992,28/06/04,Luisa,,Joelle Griffith,49792145-7,9-118-222-288,commodo@tellussemmollis.ca,Dennis Dunn,27977109-5
69,27/01/04,Local,Venta,Girona,248,575,2212408,09/10/04,María,Luisa,Daniel Mcbride,37304594-2,9-266-462-595,Aliquam.ultrices@quamquisdiam.co.uk,Sebastian Wagner,32676373-K
70,28/01/04,Casa,Alquiler,Tarragona,179,652,1647695,12/07/04,María,Luisa,Yetta Hinton,31563888-7,9-806-193-255,lectus@Sedneque.org,Marshall Swanson,47038609-6
71,28/01/04,Casa,Venta,Girona,235,516,1939925,01/11/04,Carmen,Joaquín,Veronica Ferguson,47482571-K,9-364-823-245,est@pedeNunc.net,Leandra Merrill,48749890-4
72,28/01/04,Suelo,Venta,Tarragona,216,554,1478952,15/10/04,Carmen,Joaquín,Marah Tanner,18852934-8,9-164-472-050,ornare.egestas@Duis.com,Raven Marquez,17253766-9
73,28/01/04,Parking,Alquiler,Barcelona,62,585,320044,04/09/04,Joaquín,,Zachary Estes,7876142-3,9-599-756-076,dui.Fusce.diam@atauctorullamcorper.edu,Paki Mcintyre,44571019-9
74,29/01/04,Industrial,Venta,Girona,229,250,1098055,22/10/04,Joaquín,,Shana Powell,25080161-0,9-867-551-093,elit.Aliquam@etarcuimperdiet.org,Isaac Nguyen,37043222-8
75,29/01/04,Suelo,Venta,Tarragona,41,269,187862,14/08/04,Jesús,Luisa,William Moody,10225599-2,9-618-585-225,Curabitur@ultricesVivamusrhoncus.edu,Sydnee Terry,44838933-2
76,29/01/04,Suelo,Alquiler,Tarragona,234,578,1757106,28/12/04,Pedro,Joaquín,Lev Flores,20238917-1,9-907-526-129,non@venenatisa.net,Louis Velez,41067591-9
77,30/01/04,Industrial,Alquiler,Tarragona,112,553,1104992,25/06/04,Pedro,Joaquín,Maisie Nichols,15850691-2,9-507-530-462,a.aliquet.vel@variusultrices.org,Desiree Baldwin,33493137-4
78,31/01/04,Piso,Venta,Lleida,87,227,448485,04/10/04,María,Luisa,Fiona Orr,31143171-4,9-876-570-005,natoque@sodales.org,Adrienne Thomas,39835477-K
79,31/01/04,Parking,Venta,Barcelona,298,262,2520484,27/11/04,Carmen,Joaquín,Keegan Mcmillan,26802408-5,9-154-583-954,dolor@lobortisquama.org,Steven Moreno,41969486-K
80,31/01/04,Parking,Alquiler,Barcelona,217,236,1339107,05/10/04,Carmen,Joaquín,Buckminster Copeland,47990568-1,9-612-126-700,ipsum.ac@lectusconvallis.edu,Phoebe Sutton,43244084-2
81,01/02/04,Industrial,Alquiler,Barcelona,236,390,1812244,17/11/04,Pedro,Joaquín,Chava Owens,13824095-9,9-601-714-845,lectus.quis@Proin.edu,Mariko Owens,28560014-6
82,02/02/04,Parking,Venta,Girona,117,130,1069731,14/09/04,Pedro,Joaquín,Lynn Foreman,20789492-3,9-439-783-639,lorem.vitae@scelerisquescelerisquedui.edu,Jacob Christian,33355653-7
83,02/02/04,Suelo,Venta,Lleida,56,596,471072,29/05/04,María,Luisa,Cora Bowman,21187218-7,9-834-499-872,libero@Loremipsumdolor.co.uk,Wylie Cooper,8367263-3
84,02/02/04,Piso,Venta,Barcelona,94,392,470940,28/07/04,Carmen,Joaquín,Lacey Justice,7184991-0,9-670-486-625,senectus.et@sapienmolestie.ca,Cailin Gay,7407874-5
85,02/02/04,Local,Alquiler,Barcelona,127,86,925322,03/06/04,Joaquín,,Lynn Stephenson,8969907-K,9-970-428-442,Nullam.vitae@semper.edu,Faith Hess,34930513-5
86,03/02/04,Piso,Venta,Girona,275,213,2141700,08/01/05,Jesús,Luisa,Winter Gardner,30710245-5,9-920-153-938,purus@cursus.com,Raja George,48307008-K
87,03/02/04,Industrial,Alquiler,Barcelona,93,494,778875,12/05/04,Luisa,,Timothy Reeves,6655474-0,9-743-343-085,at.fringilla@Morbiaccumsan.co.uk,Zena Price,42251815-0
88,03/02/04,Parking,Alquiler,Tarragona,58,183,421196,10/10/04,Pedro,Joaquín,Cecilia Santos,25350822-1,9-714-802-111,in@egettincidunt.org,Ulla Ware,24745707-0
89,04/02/04,Local,Alquiler,Barcelona,49,588,219716,27/09/04,Jesús,Luisa,Willow Hurley,43457865-5,9-188-241-926,Cras.dolor.dolor@velvenenatis.net,Stacey Byrd,28674614-4
90,04/02/04,Suelo,Venta,Girona,292,513,2685816,24/07/04,Pedro,Joaquín,Hayden Ryan,11328955-4,9-679-270-229,hendrerit.consectetuer@Integereulacus.co.uk,Aspen Pratt,39271686-6
91,04/02/04,Industrial,Alquiler,Barcelona,123,274,723609,16/12/04,Joaquín,,Blaine Dunlap,13935479-6,9-577-533-402,enim.Mauris.quis@ullamcorpernisl.co.uk,Zachary Dawson,19004742-3
92,05/02/04,Piso,Alquiler,Barcelona,48,611,388032,06/05/04,Jesús,Luisa,Randall Rose,14975697-3,9-150-266-808,pede@Crasdictum.co.uk,Omar Herring,13917356-2
93,05/02/04,Industrial,Alquiler,Tarragona,132,186,922020,23/10/04,Joaquín,,Julian Glenn,49938837-3,9-580-675-895,ante.dictum@sed.org,Jemima Daniel,33713717-2
94,06/02/04,Industrial,Alquiler,Barcelona,177,434,965358,08/06/04,Luisa,,Erin Weaver,9293903-0,9-106-190-294,diam.dictum@gravidanon.org,Rhonda Lucas,13822966-1
95,06/02/04,Local,Venta,Barcelona,68,709,663816,23/05/04,Joaquín,,Winter Conley,37896563-2,9-140-159-743,Praesent.luctus@mollis.net,Brenden Martinez,5814151-8
96,07/02/04,Industrial,Alquiler,Tarragona,103,587,728931,05/02/05,Jesús,Luisa,Zia Sosa,40482768-5,9-545-238-909,sodales.nisi.magna@tempus.com,Amal Haynes,14143284-2
97,07/02/04,Suelo,Venta,Tarragona,96,364,625536,07/11/04,Jesús,Luisa,Scott Aguirre,50595765-2,9-790-703-991,neque@necmetus.co.uk,Ray Woods,48937515-K
98,07/02/04,Casa,Venta,Lleida,227,693,1467782,01/02/05,Carmen,Joaquín,Vernon Schultz,11450370-3,9-282-860-645,luctus@egestas.ca,Branden Britt,14807588-3
99,07/02/04,Industrial,Alquiler,Girona,251,194,2067236,22/12/04,María,Luisa,Sophia Mcclure,25537641-1,9-868-491-414,scelerisque.lorem.ipsum@loremDonec.edu,Natalie Ewing,12215385-1
100,08/02/04,Local,Alquiler,Tarragona,125,416,531375,23/06/04,Jesús,Luisa,Sharon Odom,24044747-9,9-635-140-253,a.felis@sitamet.ca,Leah Simmons,37967706-1
101,08/02/04,Suelo,Alquiler,Girona,162,453,710694,27/09/04,María,Luisa,Hayes White,12793266-2,9-890-761-749,auctor.odio.a@aliquet.co.uk,Forrest Dyer,36400663-2
102,08/02/04,Local,Venta,Barcelona,45,273,438435,23/05/04,Luisa,,Julian Aguirre,41651991-9,9-945-368-345,lacinia.Sed@Donecfeugiat.edu,Levi Colon,24857832-7
103,08/02/04,Casa,Alquiler,Girona,258,667,1188090,19/07/04,María,Luisa,Pandora Edwards,41882990-7,9-418-454-534,in@id.net,Vielka Bowman,35103828-4
104,09/02/04,Oficina,Venta,Tarragona,104,346,699400,14/07/04,Luisa,,Wyoming Dixon,34452738-5,9-523-927-268,tincidunt.pede.ac@euismodac.com,Asher Jordan,27523879-1
105,10/02/04,Piso,Alquiler,Girona,238,162,1854496,02/02/05,Luisa,,Murphy Sutton,48613839-4,9-732-965-717,ultrices@ac.co.uk,Alexandra Caldwell,39237133-8
106,10/02/04,Piso,Alquiler,Lleida,300,235,2105700,26/01/05,Pedro,Joaquín,Phyllis Raymond,33787708-7,9-704-944-259,Morbi.neque.tellus@sollicitudin.co.uk,Jamal Jones,29470560-0
107,10/02/04,Suelo,Alquiler,Girona,222,747,1791318,13/12/04,Jesús,Luisa,Levi Fuller,40962833-8,9-497-455-497,ornare@eu.net,Blair Keller,32892109-K
108,12/02/04,Suelo,Alquiler,Tarragona,187,596,1782297,20/12/04,Joaquín,,Eric Acosta,45067035-9,9-550-117-687,ultrices.mauris@cursuspurusNullam.co.uk,Ila Stevenson,21644787-5
109,12/02/04,Suelo,Alquiler,Barcelona,300,400,1528200,09/08/04,Pedro,Joaquín,Dorian Guerra,8435690-5,9-743-828-523,nonummy.Fusce.fermentum@fringillaornareplacerat.co.uk,Genevieve Sweet,41538605-2
110,12/02/04,Parking,Venta,Barcelona,206,491,1587642,20/12/04,Luisa,,Maxine Lindsay,14829584-0,9-534-115-840,in.dolor.Fusce@eratvolutpatNulla.org,Abdul Hays,15917890-0
111,13/02/04,Suelo,Alquiler,Tarragona,162,443,954666,25/11/04,Joaquín,,Simon Golden,32247640-K,9-106-306-210,lobortis@per.co.uk,Larissa Howe,11156551-1
112,13/02/04,Local,Alquiler,Lleida,160,244,1064800,22/09/04,Pedro,Joaquín,Tatum Campos,10648267-5,9-984-862-397,nunc.nulla@idante.co.uk,Reese Hartman,9300073-0
113,13/02/04,Suelo,Alquiler,Barcelona,89,263,887241,02/01/05,Luisa,,Wade Rivera,31268258-3,9-707-289-089,nisl@Nullam.net,Madonna Copeland,28193620-4
114,14/02/04,Suelo,Venta,Girona,103,332,806799,11/01/05,Joaquín,,Eagan Sims,19285120-3,9-909-554-709,non.dapibus@sed.co.uk,Adele Randolph,23450897-0
115,14/02/04,Industrial,Venta,Tarragona,54,655,438750,15/08/04,Carmen,Joaquín,Byron Walls,15859266-5,9-678-381-688,nulla.at.sem@vulputateeu.com,Orlando Sawyer,32866408-9
116,15/02/04,Parking,Venta,Girona,103,143,973659,04/01/05,Jesús,Luisa,Charde Browning,25797963-6,9-538-780-448,porta.elit@eleifendCrassed.ca,Adria Cotton,45484419-K
117,15/02/04,Oficina,Venta,Girona,274,191,1724008,26/09/04,Joaquín,,Gareth Davidson,11171380-4,9-123-831-671,consectetuer@ametconsectetueradipiscing.org,Chiquita Calderon,37600615-8
118,15/02/04,Oficina,Venta,Girona,253,298,2047276,10/09/04,Luisa,,Louis Alvarez,49410636-1,9-155-844-982,consectetuer.adipiscing.elit@Nam.net,Castor Randolph,10782120-1
119,16/02/04,Parking,Venta,Lleida,51,441,307989,06/07/04,Pedro,Joaquín,Wylie Fitzpatrick,47727479-K,9-252-409-611,Mauris.vel@massa.com,Kaye Meyers,14783627-9
120,16/02/04,Piso,Venta,Tarragona,174,129,973878,13/12/04,Jesús,Luisa,Keefe Klein,37220180-0,9-916-293-235,Proin.mi.Aliquam@Fuscealiquamenim.org,Cailin Skinner,8512750-0
121,17/02/04,Parking,Venta,Barcelona,152,503,688864,06/12/04,Jesús,Luisa,Shelly Huber,50689241-4,9-401-852-102,dui.Cum@leo.org,Libby Wilkinson,5858238-7
122,17/02/04,Casa,Alquiler,Barcelona,270,313,1385910,05/02/05,Pedro,Joaquín,Xaviera Sampson,18181958-8,9-349-165-268,vitae.erat@nibhlaciniaorci.ca,Frances Moran,42467006-5
123,17/02/04,Local,Alquiler,Girona,179,165,1461356,30/07/04,Pedro,Joaquín,Colin Alford,13305182-1,9-178-467-423,ultrices@auctorvelit.edu,Hermione Compton,46987295-5
124,18/02/04,Suelo,Alquiler,Tarragona,212,275,926228,05/09/04,Joaquín,,Athena Knapp,22408059-K,9-343-205-863,sit.amet@risusDonecegestas.ca,Adele Chambers,48487770-K
125,19/02/04,Industrial,Venta,Girona,118,464,1067192,25/08/04,Carmen,Joaquín,Sheila Clay,6146828-5,9-590-508-248,risus.odio.auctor@tellusAeneanegestas.com,Jolie Rivers,10364430-5
126,19/02/04,Industrial,Venta,Tarragona,194,622,1373132,31/08/04,María,Luisa,Athena Flowers,39236235-5,9-661-193-597,Curae@Uttincidunt.net,Ella Bush,47783949-5
127,20/02/04,Industrial,Venta,Barcelona,139,627,1087119,29/05/04,Jesús,Luisa,Yetta Fernandez,24203650-6,9-918-130-000,dolor.dolor@Maurisnondui.co.uk,Zoe Guerra,23601048-1
128,20/02/04,Casa,Venta,Tarragona,130,220,1230190,04/01/05,Luisa,,Jordan Burnett,47440840-K,9-999-397-005,luctus.et.ultrices@conubia.edu,Brendan Moss,5383045-5
129,21/02/04,Parking,Alquiler,Lleida,206,220,1363926,08/01/05,Carmen,Joaquín,Phyllis Cabrera,37637192-1,9-826-417-512,sodales.purus@tempor.org,Clinton Clements,17998114-9
130,21/02/04,Oficina,Venta,Tarragona,216,96,1389096,23/11/04,Luisa,,Camilla Saunders,13344419-K,9-904-965-078,Donec.tempor.est@ametorciUt.edu,William Anthony,30537970-0
131,21/02/04,Local,Venta,Lleida,55,640,477345,04/09/04,Carmen,Joaquín,Urielle Nixon,10018106-1,9-158-134-317,fermentum.vel.mauris@atpede.co.uk,Emerald Cervantes,22270897-4
132,21/02/04,Oficina,Venta,Tarragona,190,394,1268630,04/12/04,Jesús,Luisa,Hedley Thomas,49795184-4,9-375-264-790,morbi.tristique@euultrices.edu,Garrett Armstrong,21005541-K
133,22/02/04,Suelo,Alquiler,Tarragona,62,566,391964,14/11/04,Pedro,Joaquín,Neil Webb,8624624-4,9-329-136-331,sit.amet@dapibusrutrum.co.uk,Joseph Gillespie,8332543-7
134,22/02/04,Oficina,Alquiler,Tarragona,275,389,1765225,20/02/05,Joaquín,,Iris Chang,39459990-5,9-844-118-840,natoque@libero.ca,Giacomo Salinas,8056452-K
135,22/02/04,Local,Venta,Lleida,45,297,229455,05/10/04,Jesús,Luisa,Sylvester Browning,48579519-7,9-895-373-623,urna@malesuada.net,Shafira Berg,20884449-0
136,23/02/04,Oficina,Alquiler,Lleida,105,278,624435,24/06/04,Joaquín,,Leo Guthrie,50451722-5,9-966-687-158,sagittis.semper@interdumliberodui.net,Ariel Matthews,6124983-4
137,23/02/04,Casa,Venta,Barcelona,119,455,686154,19/01/05,Pedro,Joaquín,Medge Stephens,12682993-0,9-216-744-706,orci.consectetuer@estmollisnon.org,Karyn Keller,11483980-9
138,24/02/04,Industrial,Venta,Girona,88,324,678480,28/12/04,Luisa,,Nina Mcdaniel,9906486-2,9-218-989-867,mus.Proin@nonegestasa.com,Tanisha Fitzgerald,32605072-5
